date;fajr;lever;zohrain;coucher;Magribain
01/01;04:16;05:41;12:23;19:03;19:16
02/01;04:16;05:41;12:24;19:03;19:16
03/01;04:17;05:42;12:24;19:03;19:16
04/01;04:18;05:42;12:25;19:04;19:17
05/01;04:19;05:43;12:25;19:04;19:17
06/01;04:19;05:44;12:26;19:04;19:17
07/01;04:20;05:44;12:26;19:04;19:17
08/01;04:21;05:45;12:26;19:05;19:18
09/01;04:22;05:46;12:27;19:05;19:18
10/01;04:23;05:46;12:27;19:05;19:18
11/01;04:23;05:47;12:28;19:05;19:18
12/01;04:24;05:48;12:28;19:05;19:18
13/01;04:25;05:49;12:28;19:05;19:18
14/01;04:26;05:49;12:29;19:05;19:18
15/01;04:27;05:50;12:29;19:05;19:18
16/01;04:28;05:51;12:29;19:05;19:18
17/01;04:28;05:51;12:30;19:05;19:18
18/01;04:29;05:52;12:30;19:05;19:18
19/01;04:30;05:53;12:30;19:05;19:18
20/01;04:31;05:53;12:31;19:05;19:18
21/01;04:32;05:54;12:31;19:05;19:18
22/01;04:33;05:55;12:31;19:05;19:18
23/01;04:34;05:55;12:32;19:05;19:18
24/01;04:34;05:56;12:32;19:05;19:18
25/01;04:35;05:57;12:32;19:04;19:17
26/01;04:36;05:57;12:32;19:04;19:17
27/01;04:37;05:58;12:32;19:04;19:17
28/01;04:38;05:59;12:33;19:04;19:17
29/01;04:39;05:59;12:33;19:03;19:16
30/01;04:39;06:00;12:33;19:03;19:16
31/01;04:40;06:01;12:33;19:03;19:16
01/02;04:41;06:01;12:33;19:02;19:15
02/02;04:42;06:02;12:33;19:02;19:15
03/02;04:43;06:02;12:34;19:02;19:15
04/02;04:43;06:03;12:34;19:01;19:14
05/02;04:44;06:04;12:34;19:01;19:14
06/02;04:45;06:04;12:34;19:00;19:13
07/02;04:46;06:05;12:34;19:00;19:13
08/02;04:46;06:05;12:34;18:59;19:12
09/02;04:47;06:06;12:34;18:59;19:12
10/02;04:48;06:06;12:34;18:58;19:11
11/02;04:49;06:07;12:34;18:58;19:11
12/02;04:49;06:08;12:34;18:57;19:10
13/02;04:50;06:08;12:34;18:57;19:10
14/02;04:51;06:09;12:34;18:56;19:09
15/02;04:51;06:09;12:34;18:56;19:09
16/02;04:52;06:10;12:34;18:55;19:08
17/02;04:53;06:10;12:34;18:54;19:07
18/02;04:53;06:11;12:34;18:54;19:07
19/02;04:54;06:11;12:34;18:53;19:06
20/02;04:55;06:12;12:33;18:52;19:05
21/02;04:55;06:12;12:33;18:52;19:05
22/02;04:56;06:12;12:33;18:51;19:04
23/02;04:56;06:13;12:33;18:50;19:03
24/02;04:57;06:13;12:33;18:50;19:03
25/02;04:58;06:14;12:33;18:49;19:02
26/02;04:58;06:14;12:33;18:48;19:01
27/02;04:59;06:15;12:32;18:47;19:00
28/02;04:59;06:15;12:32;18:47;19:00
29/02;05:00;06:15;12:32;18:46;18:59
01/03;05:00;06:16;12:32;18:45;18:58
02/03;05:01;06:16;12:32;18:44;18:57
03/03;05:01;06:17;12:31;18:43;18:56
04/03;05:02;06:17;12:31;18:43;18:56
05/03;05:02;06:17;12:31;18:42;18:55
06/03;05:03;06:18;12:31;18:41;18:54
07/03;05:03;06:18;12:31;18:40;18:53
08/03;05:04;06:18;12:30;18:39;18:52
09/03;05:04;06:19;12:30;18:38;18:51
10/03;05:04;06:19;12:30;18:37;18:50
11/03;05:05;06:19;12:29;18:37;18:50
12/03;05:05;06:20;12:29;18:36;18:49
13/03;05:06;06:20;12:29;18:35;18:48
14/03;05:06;06:20;12:29;18:34;18:47
15/03;05:06;06:21;12:28;18:33;18:46
16/03;05:07;06:21;12:28;18:32;18:45
17/03;05:07;06:21;12:28;18:31;18:44
18/03;05:07;06:22;12:28;18:30;18:43
19/03;05:08;06:22;12:27;18:29;18:42
20/03;05:08;06:22;12:27;18:29;18:42
21/03;05:08;06:23;12:27;18:28;18:41
22/03;05:09;06:23;12:26;18:27;18:40
23/03;05:09;06:23;12:26;18:26;18:39
24/03;05:09;06:23;12:26;18:25;18:38
25/03;05:10;06:24;12:25;18:24;18:37
26/03;05:10;06:24;12:25;18:23;18:36
27/03;05:10;06:24;12:25;18:22;18:35
28/03;05:11;06:25;12:25;18:21;18:34
29/03;05:11;06:25;12:24;18:20;18:33
30/03;05:11;06:25;12:24;18:20;18:33
31/03;05:12;06:26;12:24;18:19;18:32
01/04;05:12;06:26;12:23;18:18;18:31
02/04;05:12;06:26;12:23;18:17;18:30
03/04;05:12;06:26;12:23;18:16;18:29
04/04;05:13;06:27;12:22;18:15;18:28
05/04;05:13;06:27;12:22;18:14;18:27
06/04;05:13;06:27;12:22;18:13;18:26
07/04;05:13;06:28;12:22;18:13;18:26
08/04;05:14;06:28;12:21;18:12;18:25
09/04;05:14;06:28;12:21;18:11;18:24
10/04;05:14;06:29;12:21;18:10;18:23
11/04;05:14;06:29;12:21;18:09;18:22
12/04;05:15;06:29;12:20;18:08;18:21
13/04;05:15;06:29;12:20;18:08;18:21
14/04;05:15;06:30;12:20;18:07;18:20
15/04;05:15;06:30;12:20;18:06;18:19
16/04;05:16;06:30;12:19;18:05;18:18
17/04;05:16;06:31;12:19;18:04;18:17
18/04;05:16;06:31;12:19;18:04;18:17
19/04;05:16;06:31;12:19;18:03;18:16
20/04;05:17;06:32;12:18;18:02;18:15
21/04;05:17;06:32;12:18;18:01;18:14
22/04;05:17;06:32;12:18;18:01;18:14
23/04;05:17;06:33;12:18;18:00;18:13
24/04;05:18;06:33;12:18;17:59;18:12
25/04;05:18;06:33;12:18;17:59;18:12
26/04;05:18;06:34;12:17;17:58;18:11
27/04;05:19;06:34;12:17;17:57;18:10
28/04;05:19;06:34;12:17;17:57;18:10
29/04;05:19;06:35;12:17;17:56;18:09
30/04;05:19;06:35;12:17;17:55;18:08
01/05;05:20;06:36;12:17;17:55;18:08
02/05;05:20;06:36;12:17;17:54;18:07
03/05;05:20;06:36;12:16;17:54;18:07
04/05;05:20;06:37;12:16;17:53;18:06
05/05;05:21;06:37;12:16;17:52;18:05
06/05;05:21;06:38;12:16;17:52;18:05
07/05;05:21;06:38;12:16;17:51;18:04
08/05;05:22;06:38;12:16;17:51;18:04
09/05;05:22;06:39;12:16;17:50;18:03
10/05;05:22;06:39;12:16;17:50;18:03
11/05;05:23;06:39;12:16;17:50;18:03
12/05;05:23;06:40;12:16;17:49;18:02
13/05;05:23;06:40;12:16;17:49;18:02
14/05;05:23;06:41;12:16;17:48;18:01
15/05;05:24;06:41;12:16;17:48;18:01
16/05;05:24;06:42;12:16;17:48;18:01
17/05;05:24;06:42;12:16;17:47;18:00
18/05;05:25;06:42;12:16;17:47;18:00
19/05;05:25;06:43;12:16;17:47;18:00
20/05;05:25;06:43;12:16;17:46;17:59
21/05;05:26;06:44;12:16;17:46;17:59
22/05;05:26;06:44;12:16;17:46;17:59
23/05;05:26;06:44;12:17;17:46;17:59
24/05;05:27;06:45;12:17;17:45;17:58
25/05;05:27;06:45;12:17;17:45;17:58
26/05;05:27;06:46;12:17;17:45;17:58
27/05;05:28;06:46;12:17;17:45;17:58
28/05;05:28;06:46;12:17;17:45;17:58
29/05;05:28;06:47;12:17;17:45;17:58
30/05;05:29;06:47;12:17;17:44;17:57
31/05;05:29;06:48;12:18;17:44;17:57
01/06;05:29;06:48;12:18;17:44;17:57
02/06;05:29;06:48;12:18;17:44;17:57
03/06;05:30;06:49;12:18;17:44;17:57
04/06;05:30;06:49;12:18;17:44;17:57
05/06;05:30;06:50;12:18;17:44;17:57
06/06;05:31;06:50;12:19;17:44;17:57
07/06;05:31;06:50;12:19;17:44;17:57
08/06;05:31;06:51;12:19;17:44;17:57
09/06;05:32;06:51;12:19;17:44;17:57
10/06;05:32;06:51;12:19;17:44;17:57
11/06;05:32;06:52;12:20;17:44;17:57
12/06;05:32;06:52;12:20;17:44;17:57
13/06;05:33;06:52;12:20;17:45;17:58
14/06;05:33;06:53;12:20;17:45;17:58
15/06;05:33;06:53;12:20;17:45;17:58
16/06;05:33;06:53;12:21;17:45;17:58
17/06;05:34;06:53;12:21;17:45;17:58
18/06;05:34;06:54;12:21;17:45;17:58
19/06;05:34;06:54;12:21;17:46;17:59
20/06;05:34;06:54;12:21;17:46;17:59
21/06;05:35;06:54;12:22;17:46;17:59
22/06;05:35;06:54;12:22;17:46;17:59
23/06;05:35;06:55;12:22;17:47;18:00
24/06;05:35;06:55;12:22;17:47;18:00
25/06;05:35;06:55;12:23;17:47;18:00
26/06;05:36;06:55;12:23;17:47;18:00
27/06;05:36;06:55;12:23;17:48;18:01
28/06;05:36;06:55;12:23;17:48;18:01
29/06;05:36;06:55;12:23;17:48;18:01
30/06;05:36;06:56;12:24;17:49;18:02
01/07;05:36;06:56;12:24;17:49;18:02
02/07;05:36;06:56;12:24;17:49;18:02
03/07;05:36;06:56;12:24;17:49;18:02
04/07;05:36;06:56;12:24;17:50;18:03
05/07;05:36;06:56;12:24;17:50;18:03
06/07;05:37;06:56;12:25;17:51;18:04
07/07;05:37;06:56;12:25;17:51;18:04
08/07;05:37;06:56;12:25;17:51;18:04
09/07;05:37;06:55;12:25;17:52;18:05
10/07;05:37;06:55;12:25;17:52;18:05
11/07;05:36;06:55;12:25;17:52;18:05
12/07;05:36;06:55;12:25;17:53;18:06
13/07;05:36;06:55;12:26;17:53;18:06
14/07;05:36;06:55;12:26;17:53;18:06
15/07;05:36;06:55;12:26;17:54;18:07
16/07;05:36;06:54;12:26;17:54;18:07
17/07;05:36;06:54;12:26;17:55;18:08
18/07;05:36;06:54;12:26;17:55;18:08
19/07;05:36;06:54;12:26;17:55;18:08
20/07;05:35;06:53;12:26;17:56;18:09
21/07;05:35;06:53;12:26;17:56;18:09
22/07;05:35;06:53;12:26;17:57;18:10
23/07;05:35;06:53;12:26;17:57;18:10
24/07;05:35;06:52;12:26;17:57;18:10
25/07;05:34;06:52;12:26;17:58;18:11
26/07;05:34;06:51;12:26;17:58;18:11
27/07;05:34;06:51;12:26;17:58;18:11
28/07;05:33;06:51;12:26;17:59;18:12
29/07;05:33;06:50;12:26;17:59;18:12
30/07;05:33;06:50;12:26;18:00;18:13
31/07;05:32;06:49;12:26;18:00;18:13
01/08;05:32;06:49;12:26;18:00;18:13
02/08;05:31;06:48;12:26;18:01;18:14
03/08;05:31;06:48;12:26;18:01;18:14
04/08;05:31;06:47;12:26;18:01;18:14
05/08;05:30;06:47;12:26;18:02;18:15
06/08;05:30;06:46;12:25;18:02;18:15
07/08;05:29;06:45;12:25;18:02;18:15
08/08;05:29;06:45;12:25;18:03;18:16
09/08;05:28;06:44;12:25;18:03;18:16
10/08;05:28;06:44;12:25;18:03;18:16
11/08;05:27;06:43;12:25;18:04;18:17
12/08;05:27;06:42;12:25;18:04;18:17
13/08;05:26;06:42;12:24;18:04;18:17
14/08;05:25;06:41;12:24;18:05;18:18
15/08;05:25;06:40;12:24;18:05;18:18
16/08;05:24;06:39;12:24;18:05;18:18
17/08;05:23;06:39;12:24;18:05;18:18
18/08;05:23;06:38;12:23;18:06;18:19
19/08;05:22;06:37;12:23;18:06;18:19
20/08;05:21;06:36;12:23;18:06;18:19
21/08;05:21;06:36;12:23;18:07;18:20
22/08;05:20;06:35;12:22;18:07;18:20
23/08;05:19;06:34;12:22;18:07;18:20
24/08;05:18;06:33;12:22;18:07;18:20
25/08;05:18;06:32;12:22;18:08;18:21
26/08;05:17;06:32;12:21;18:08;18:21
27/08;05:16;06:31;12:21;18:08;18:21
28/08;05:15;06:30;12:21;18:08;18:21
29/08;05:15;06:29;12:20;18:09;18:22
30/08;05:14;06:28;12:20;18:09;18:22
31/08;05:13;06:27;12:20;18:09;18:22
01/09;05:12;06:26;12:19;18:09;18:22
02/09;05:11;06:26;12:19;18:10;18:23
03/09;05:10;06:25;12:19;18:10;18:23
04/09;05:10;06:24;12:18;18:10;18:23
05/09;05:09;06:23;12:18;18:10;18:23
06/09;05:08;06:22;12:18;18:11;18:24
07/09;05:07;06:21;12:17;18:11;18:24
08/09;05:06;06:20;12:17;18:11;18:24
09/09;05:05;06:19;12:17;18:11;18:24
10/09;05:04;06:18;12:16;18:12;18:25
11/09;05:03;06:17;12:16;18:12;18:25
12/09;05:02;06:16;12:16;18:12;18:25
13/09;05:01;06:15;12:15;18:12;18:25
14/09;05:00;06:14;12:15;18:12;18:25
15/09;04:59;06:13;12:15;18:13;18:26
16/09;04:59;06:13;12:14;18:13;18:26
17/09;04:58;06:12;12:14;18:13;18:26
18/09;04:57;06:11;12:14;18:13;18:26
19/09;04:56;06:10;12:13;18:14;18:27
20/09;04:55;06:09;12:13;18:14;18:27
21/09;04:54;06:08;12:12;18:14;18:27
22/09;04:53;06:07;12:12;18:14;18:27
23/09;04:52;06:06;12:12;18:15;18:28
24/09;04:51;06:05;12:11;18:15;18:28
25/09;04:50;06:04;12:11;18:15;18:28
26/09;04:49;06:03;12:11;18:15;18:28
27/09;04:48;06:02;12:10;18:16;18:29
28/09;04:47;06:01;12:10;18:16;18:29
